Unnamed: 0,content,stars,title,status
33,"這部是翻拍 電玩版 古墓奇兵:重生 

如果是有玩過的玩家去觀看 可能會有點失望 拔掉了太多元素 另外就是劇情有太多漏洞  

給3顆星是在觀看中有重現遊戲場景刺激的部分以及工作人員的辛苦  希望下一部能有更好的成果",3,古墓奇兵,soso
34,沒演技的女主角，古墓奇兵的蘿拉演成秘境探險德瑞克，一顆星還太多,1,古墓奇兵,bad
35,for  rola !!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,古墓奇兵,good
36,還是打電動比較刺激～完全沒有fu,1,古墓奇兵,bad
37,演員很棒，劇情很老，沒有創新驚喜感……,2,古墓奇兵,bad
38,"真的太粗糙了
這裡就來蓋個樓
點出劇中不合羅輯的地方吧…

1 羅拉潛回帳棚時  明明就可以直接幹掉趁壞蛋，但她竟然選擇不慌不忙的走掉
2 羅拉他爸出現在那個門口根本不合羅輯 很明顯是劇情安排
3 開外掛 無限箭矢，而且有槍不用…
4 病痛的老人直接殺掉 吳彥祖放走人質竟然還能活到最後
5 羅拉老爸明明也都沒進去過，為什麼筆記本可以這麼詳細
6 在門口2對1明明可以打贏 最後卻妥協 老爸打死不開 女兒卻輕易的答應
   既然要這樣怎麼不直接給他老爸一個痛快
7 爬梯明明可以過河拆橋 就硬要安排一場格鬥

大家還有看到哪些覺得扯的劇情嗎？",1,古墓奇兵,bad
39,"非常普通，跟安潔的蘿拉比，感覺單調很多，吳彥祖說配角都算勉強，可有可無的角色，不推，失望

更新：以前人家說有工讀生我不信，但現在我信了，只要評語有寫不好的，幾乎都會被""噓""，而且""噓""比""讚""還要多，本來還有兩顆星，因為工讀生改成一顆。",1,古墓奇兵,bad
40,"整體來說是還不錯，給兩星覺得故事挺老梗的，還有前面鋪陳的腳踏車，原以為後面叢林部分還是古墓部分會有女主角騎機車秀一波的畫面，結果沒有..(前面拳擊跟射箭後面都有展現)，打發時間去看很不錯@@""",2,古墓奇兵,bad
41,"給1星確實對不起電影工作人員, 給5星更對不起自己的良心, 所以還是中規中矩給個3個星吧!!! 可能是前代蘿拉的影響大家對於年輕(崛起)的小蘿拉有崇景,但也有點洗衣板,真的很難想像怎麼變這樣, 希望第二集正式來先去豐個胸吧OPS...故事真的有點太無聊,我是實話實說,不合乎邏輯的地方有夠多, 而且, 對於蘿拉原先定位如果是一個摸金校尉真的有對不起這職位的事實存在, 尤其是臨時搭橋那段, 明明跳過去到對面移開橋頭他人就下去, 非要把人和自己推在一起打那個很無聊又沒邏輯的架...怪怪DRE呢...",3,古墓奇兵,soso
42,"昨天晚上去看了 說真的挺失望的!!
前半段劇情鋪成實在很悶!看到都想睡著了
如果設計成壞人覬覦搶奪這份地圖資訊 設計成搶奪 不是會讓劇情更緊湊.刺激?
還有明明開始就說 要進到這個地點 講得似乎挺艱難的
主角還涉險搭船隻進入..結果直接可以用運輸機傳送 這是哪招?
還有島嶼明明就那麼小....可以一炸一挖就七年..應該早就移為平地了吧!
要吐槽這部電影的點太多了 講太多洩漏劇情!
真的拍得很爛 很悶.. 成本應該不台幣2000萬
老實說 只有女主角 掉入湍急時候 卡在飛機殘骸上面那個地方
我有替他緊張了一下",1,古墓奇兵,bad
43,不錯看，給一評的人生應該沒希望了，嗯嗯,5,古墓奇兵,good
44,"直得推一部電影
只要是有玩過古墓奇兵遊戲一定要去看因為這是前傳",5,古墓奇兵,good
45,因為羅拉胸部太小，所以最多只能給妳1顆星！,1,古墓奇兵,bad
46,"原本要看玩命颶風，結果國賓影城沒有Orz，沒問家人意見，索性就買票了@_@，被家人唸了一番，，，這不是重點，看完後，問了3位公主，都說
好看，回家後，學蘿拉父親愛蘿拉的手勢對3公主，她們反應不像蘿拉，竟然都是驚嚇尖叫╮(╯_╰)╭，，，總之，她們覺得好好看",5,古墓奇兵,good
47,刺激,5,古墓奇兵,good
48,還不錯 雖然劇情老套 但特效做的還不錯 看的出來女主角很努力了,4,古墓奇兵,good
49,是一部不錯的動作片，場面華麗演技甚佳，但是劇情為主角設計太多外掛個人不是很喜歡啦,5,古墓奇兵,good
50,劇情起伏不大 看起來不過癮 吳彥祖角色......,3,古墓奇兵,soso
51,"1.香港到日本開漁船就能到
2.香港到日本不但開漁船能到，還一天一夜就到
3.香港到日本不但開漁船一天一夜就到，還能不小心找到神秘的無人小島
4.女主角永遠不會骨折，整座山連洞穴崩塌，挖開石頭女主完好無損
5.女主如果不要單槍匹馬找爸爸，或不要找爸爸，爸爸會更開心
其他吐槽點太多了，留一點給別人發掘",3,古墓奇兵,soso
52,太難看了...據情爛...演員爛......不知在演啥...,1,古墓奇兵,bad
53,好看 比第一代好看多了，這版才有電玩的感覺,5,古墓奇兵,good
54,還行 沒想像中磅礡 是不難看 但不到鉅作,4,古墓奇兵,good
55,"劇情是比較老套了一點的動作冒險故事，
但裡面的冒險是完美呈現了遊戲中的刺激場景，
加上各橋段是接得相當漂亮，
整部電影可說是毫無冷場，精彩絕倫，
影迷們應該是會喜歡，
遊戲迷們更會愛死的一次漂亮電影的重啟。
另外，這裡也提供詳細的觀影心得給大家參考：
https://youtu.be/FbZxuOyLNCc",5,古墓奇兵,good
56,好看！ 雖然有改編 但遊戲中該有的元素都有出現！ 推~,5,古墓奇兵,good
57,"上映的第二天就馬上去電影院看,看完感想:真的很好看！期待續集！(希望有)",5,古墓奇兵,good
58,緊張刺激，好看！不推！,5,古墓奇兵,good
59,"滿好看的其實，但我覺得如果沒玩過電玩可能會比較有驚喜的感覺
，因為玩過反而知道後面的劇情走向...而且艾莉西亞還滿會演戲的
所以大加分!",5,古墓奇兵,good
60,跟遊戲差太多 也沒壯觀場面~~~~~~~~~~~~~~,1,古墓奇兵,bad
61,我坐了半小時，我起身，出了電影廳！,1,古墓奇兵,bad
62,越到後面越好看，蘿拉有夠強的！還不錯......,5,古墓奇兵,good
63,以2013遊戲版本為背景，有玩過遊戲的應該會很有共鳴，很多遊戲裡的元素與遊玩方式都有出現在電影裡，暗殺弓箭與一模一樣的萬用攀岩斧，可惜電影沒有拍出遊戲裡令人驚艷的場景與恐怖氣氛，但還不錯！,5,古墓奇兵,good
64,"完全不能跟裘莉演的比....
看一半就默默的離開電影院了....對不起",1,古墓奇兵,bad
65,看起來不好看,1,古墓奇兵,bad
66,很好看，打鬥場面很刺激，劇情也不會冗,5,古墓奇兵,good
67,還是玩命颶風比較刺激好看無冷場！,1,古墓奇兵,bad
68,"覺得滿無聊的 有點想睡覺
劇情太攏長",1,古墓奇兵,bad
69,選擇用箭反擊、舉起親過的食/中指示意那段很飢餓遊戲場景,3,古墓奇兵,soso
70,普普通通，沒有想像中的令人感到驚艷，但打鬥的部分還是很刺激,3,古墓奇兵,soso
71,地獄難看！可能只是不適合我😂,1,古墓奇兵,bad
72,"本作四平八穩 算是水準之上.但稱不上the Masterpiece ,女主角融合了鷹眼的射箭能力和娜塔莎的格鬥戰力.但以好萊屋動作女主角還是比較喜歡看安潔莉娜裘莉 和喬娃維琪.因為動作比較有爆點.就看女主第二輯可不可以有突破性演出",4,古墓奇兵,good
73,無敵好看感動還害我掉兩滴淚😭,5,古墓奇兵,good
74,好看~接很近新版電玩的角色設定!! 期待第二集了....,5,古墓奇兵,good
75,"艾莉西亞維坎德 詮釋的蘿拉更加具有真實感，並且她在失去父親的情感演繹上比起裘莉更觸動人心。
劇情精彩程度也必須給滿分，緊張的氣氛會讓人跟著驚呼或不知覺跟著緊繃身體，值得推薦3D觀看！

另外， 
吳彥祖=交通工具(船跟直升機)XDD",5,古墓奇兵,good
76,比我所預期的好，雖然身材差了點，但看得出很努力又有感情的演出，若要說缺點就是揭開了所謂傳說就真的不那麼神祕了。,4,古墓奇兵,good
77,個人覺得老梗 親情比重過多 不是那麼好看,3,古墓奇兵,soso
78,比預期中好很多，值得進場去觀賞,4,古墓奇兵,good
79,原本只想打發時間，沒想到蠻好看的,5,古墓奇兵,good
80,很好看！值得去電影院看！媽媽都誇好看！刺激！,5,古墓奇兵,good
81,"案潔莉娜裘莉版本的太過神話了，演得很像英雄片，不過劇情都不錯!
而新版的女主角演出很符合""年少蘿拉""的腳色，他是有成長歷程的!會尖叫、會迷惘、會受挫甚至會撒嬌...到後來慢慢才成為那堅強、瀟灑強悍的""蘿拉""!給這演員大加分，也讓續集很有可看性!
那這集的劇情呢?前面敘述有點攏長，一直到後面開始""尋寶""、""探險""才精彩!把情緒和氣氛拉到位，也把劇情解釋的不錯!
至於""吳彥祖""的腳色嘛......完全是可有可無的!演技也沒有特別到位，明明在尋找日本女皇的遺體，為甚麼不乾脆用日本人也許更符合吧...?",4,古墓奇兵,good
82,"非常好看~
到香港後找到吳彥祖後幾乎毫無冷場.
蘿拉根本就開外掛!!!
中間與某人相遇那段讓我紅了眼眶
最後似乎是埋下伏筆?",5,古墓奇兵,good
83,有需要看到3D的嗎？??????????,3,古墓奇兵,soso
84,整體是不錯看！但個人覺得劇情有點短～,4,古墓奇兵,good
85,！！！！！！！！！！！！！！！！,5,古墓奇兵,good
86,好看 很精彩內容打鬥與探險 值回票價,5,古墓奇兵,good
87,星期一去西門町巨幕廳看試映會，臨場感都不錯，可惜演女主角的蘿拉太瘦了，其他都不錯，第二集希望能練精實點...,4,古墓奇兵,good
88,"What A Great Movie!!!
Just WOW!!!
Alicia Vikander is so amazing!!!
#TombRaider",5,古墓奇兵,good
0,睡著了!!喝了杯咖啡還是沒有用!!說好看的人，真是想了解他們是抱著怎樣的情形去看得!!,1,最後的絕地武士,bad
1,"《星際大戰:最後的絕地武士》是我覺得近期三部星戰電影(原力覺醒、俠盜一號)最好看的一部，雖然格局變小，但劇情描寫更加細膩，且整體故事更完整，解釋了許多上集留下的謎團，演員在這集也有更多表現空間，而且時間分配上更平均，同時加強角色間的連結。雖然電腦特效看起來比上集粗糙，有些「特定」物品或橋段(戰艦防護罩、光速穿越、尤達大師)有很假的感覺，但應該是為了致敬，因為配樂、色彩跟場景都使它的美術部分比上集更出色，而且最後的大戰效果非常棒。不過其中確實還是有一些難以忽視的缺陷，角色的能力真的忽強忽弱。總之，我非常喜歡這部電影，也很期待下集的發展啊！


全文網址:https://he1108.blogspot.tw/2018/03/blog-post_14.html#more",5,最後的絕地武士,good
2,"星球大戰演了這麽多部，風格已經有點老了，不過還是很好看，小機器人太聰明可愛了，分享一個網站，niigu.com,電影/電視劇/音樂都有資源",5,最後的絕地武士,good
3,"　　如果不是路克救場＆莉亞傳承勉強拉到及格，我會給這部片更低的分數。

　　想走出新格局、顛覆以往套路，繳出來的卻是個大方向依然抄襲《帝國大反擊》、只不過在傳統套路間刻意反其道的半吊子。

　　開頭轟炸機那爛到好笑的防禦＆掩護就不提了，被一架鈦戰機殘骸撞掉多達三台轟炸機，擺明只想鋪接下來的損失慘重發展，把轟炸機作成笨重的耙子還要駕駛去手控投彈？我笑了。

　　黃黑二人組跑去執行個看似重要的任務，最後告訴你「被出賣了，徒勞無功喔」，瞬間變成整段支線拔掉也沒差，想玩平民英雄論，表現出來的卻是若非強運這兩個人早就死不知道幾次了。

　　沒種賜死這兩個角色，搞反轉陷入死局只好凹更多巧合來解套（遇解碼師逃出賭場、遇自殺攻擊逃出敵艦），這是扎實劇本該有的特徵嗎？

　　說這兩個人的劇情有推動小孩子的部分就省省吧，換成小孩子聽人講述反抗勢力的事蹟即可，沒有非他們兩人來推動的必要。

　　大鬧賭場放走馬還說：「有破壞賭場、讓他們損失」，一副有所作為的自滿樣。知道你們這麼一搞接下來一段時間內賭場內的奴隸和下人只會被欺壓得更慘嗎？等你們跑來解放賭場後再來說吧。

　　上集鋪得多神秘恐怖的反派，領了個堪比餿水等級的廉價便當，一個之前吃過敗仗、沒啥亮眼作為的中二上位當魔王，論權謀沒權謀，論霸氣沒霸氣，第一軍團權柄交在其手上滅亡之日指日可待。

　　藉開羅人之口說：「拋棄老元素，開始新時代」，結果陷入死局來救駕的還是老角色路克。上集開始把老角色請回來拉人氣，發現觀眾買單後就開始與過去做切割，揚言破舊立新，真的消費老情懷不留餘力呢。




《星際大戰：最後的絕地武士》──消費舊作與賣弄翻轉的半吊子。

http://hijk963.pixnet.net/blog/post/118051071",3,最後的絕地武士,soso
4,不落俗套，好看！！,5,最後的絕地武士,good
5,真的非常好看 我曾經看過35年前的星際大戰第三部曲 絕地大反攻 之後 當時在想 絕地武士這麼厲害 幾乎與神相當 難道都沒有個人的弱點與脆弱 最後的絕地武士 裡我找到了答案 天行者路克在第七集原力覺醒裡遠世隱遁 當時我相當訝異 為何劇情是如此鋪陳 雖然當時我看原力覺醒 因為個人人生背景已經物換星移 再次看到原班人馬已經淚流滿面 跟我憶起去看的親人早已離開人世(抱歉離題) 所以現在再看第8集的劇情 內心已經知道答案 原來一個英雄再怎麼傳奇與無敵 終究還是要檢視衝破個人脆弱與不堪的一面 天行者路克就是最佳典範 這部片必須用心地從第一部看到第七部 才能體會到第八部給影迷的感動與真正意義 要不然寫出負評的影迷 相信是不用心的電影白癡,5,最後的絕地武士,good
6,好看.......................,4,最後的絕地武士,good
7,真的神難看，打鬥不精采，劇情很拖戲又無聊，你的錢跟時間很多再去看,1,最後的絕地武士,bad
8,這部的劇情令我十分震驚，相比於前幾部星戰（除5外），跟本猜不到劇情的走向。裡面人物刻劃與角色互動也做得頗用心。當然空戰與配樂還是那麼的驚心動魄，外加少部份笑點安排，個人是認為有為電影加到分的。不過稍微腦弱且不合理的安排還是有的，但我認爲「根本」不影響觀看的興致與故事節奏。整體電影4分，但當我看到以前的角色重新出現且活躍，實在是太感人了～ 所以私心再加一分=) 雖然快要下片了，我還是推薦那些猶豫不決的人去電影院欣賞、感覺星戰的魔力吧:),5,最後的絕地武士,good
9,劇情有點枯燥，不是星戰迷的話應該會看的坐立難安！,3,最後的絕地武士,soso
10,"中間有某角色掛掉讓我很訝異覺得不錯,但除此之外真是乏善可陳...我覺得不是星戰迷的看了可能會昏倒,期待很深的真正星戰迷看了會吐血....(前提是有看過前面幾集)",2,最後的絕地武士,bad
11,這一集的劇本及編導非常差，完全背叛了星際大戰世界精神遺產的連續性，也完全摧毀了它的觀眾與其故事中的英雄或英雌間長久以來的自我想像與連結，看來現在唯一可以解救的方式，就是由迪士尼主動宣布改片名為「星際大戰：番外篇-最後的絕地武士」，說明本片純粹為平行宇宙的故事，而且第9集才是真正第7集的續集，否則，星際大戰的故事與精神從此就被迪士尼毀了！,1,最後的絕地武士,bad
12,不是星迷真的別碰，從頭到尾都在挑戰觀眾智商,1,最後的絕地武士,bad
13,無言_劇情兩邊亂跳 拖延戰術加女主角回來救反抗軍然後結束了==,1,最後的絕地武士,bad
14,星際大戰當年出來的時候我還沒出生，虧我還為了看這部經典去看以前的六集，結果呢? 我跟我朋友在燈打開那一刻我們想到的都是:我他X看了什麼? 整部劇情要馬是在拖戲要馬就在演不會有結果的事情。可以不要一部好看的電影從頭到尾一直在致敬嗎? 電影就一直被九十度敬禮到結束。,1,最後的絕地武士,bad
15,星際大戰太經典，每一步都看，雖然沒有第一步那麽有感覺，倒是絕對值得看。niigu.com網站上有下載，全集<STAR WARS>.,5,最後的絕地武士,good
16,"覺得好看
特效很足夠，又帶點詼諧的氣氛",5,最後的絕地武士,good
17,星戰的支線本來就很多，喜歡的依舊會喜歡與支持。這種大片本來就不好拍，我覺得已經很棒了！,5,最後的絕地武士,good
18,"最後半小時把你的 ""僅有如此"" 感, 全部消失, 最後大戰 讓人驚艷 , 路克大師",5,最後的絕地武士,good
19,蠻失望的   因為沒有第一  第3集  光劍打鬥的畫面 就不是星際大戰了.....,0,最後的絕地武士,bad
20,今天跑去看，真是一部娛樂性十足的電影，絕對是一檔可以抱著爆米花喝著可樂看爽爽的表演。只是很意外這集竟然有小叮鈴的出場。,5,最後的絕地武士,good
21,非常普通，劇情太過不合理，除了星際迷其他人可看可不看,3,最後的絕地武士,soso
22,我不星戰迷 前集真是被我批到爛 這集還算可以 我想可以拍的更好 !! 像是大魔王就被一個屁孩用這暗招幹掉真的不是很好!! 最後終於有點導回來了!!宇宙之大最好只剩你們家族有原力!!,4,最後的絕地武士,good
23,爛死了 支線太多 亂七八糟 朋友還看到睡著 剛好看午夜場完全沒人 只有我們同行的六人,1,最後的絕地武士,bad
24,"迪士尼完全摧毀了星際大戰正傳系列！
（一）30年後還在用造型幾乎沒什麼改款的X翼戰機和鈦戰機，如果是老盧設計一定會照時間推進創造符合「星戰世界30年後」的新載具，讓觀眾第一眼看到認為那不是X翼和鈦戰機，但又可以確信那是30年後改款的機體。同樣地八部曲的AT-M6和First Order AT-ST也是一樣道理，根本就是故意消費粉絲情懷！弒星者之戰和Crait戰役，讓人以爲根本是在看「21世紀版的曙光乍現和帝國大反擊」

（二）到現在還沒交待史諾克的來歷！一個擁有如此強大的黑暗原力使用者，同時又身兼第一軍團的最高領導人，怎麼可能和達斯.西帝與西斯派亳無瓜葛！我們都知道第一軍團是銀河帝國殘黨，憑什麼史諾克可以掌握當年西帝所留下來的龐大資源！？然後一躍成為第一軍團最高領導人？憑什麼？他到底和西斯是什麼關係？是否迪士尼純屬就為反派而創反派？故意設計和西帝類似的角色，又是一次成功地利用粉絲情懷？

（三）我們都知道死星的最初設計是由吉諾西斯人所打造，後來杜酷將其設計圖轉交給西帝。三部曲片尾我們看見西帝、維達、塔金正在監督建造中的死星。俠盜一號中我們了解到蓋倫.厄索為何要為死星設計致命缺陷。結果毀滅力量遠遠超越死星的弒星者基地，橫空出世莫名奇妙地出現在「原力覺醒」中，完全沒頭沒尾就這樣現身，很顯然迪士尼就是為了要製造「21世紀版的曙光乍現」，所以弄出個""類死星""的球體大規模毀滅性武器，又是搞個既視感，讓觀眾高潮大喊：「啊啊啊！這就是星際大戰」

(四）依舊玩「革命政治」之元素！三十年前反抗軍同盟推翻帝國建立新共和國；三十年後反抗軍更名為「抵抗勢力」繼續對抗強大的第一軍團。永遠都在以小搏大，劇情持續在那邊輪迴！電影世界中的時間不斷往前走，結果故事卻永遠停滯不前！

結論：盧卡斯當年創造偉大的科幻傳奇史詩已不復存在，取而代之的是邪惡米老鼠帝國在盧的創意基礎上繼續搞破壞、纯斂財！套一句路克天行者在電影中所說的：「It's time for Star Wars to end」",1,最後的絕地武士,bad
25,好看  可以花錢買票看看 不是星戰就別來了,5,最後的絕地武士,good
26,"展現了與以往不一樣的故事劇情，
的確正如路克在預告中說的：
這跟你想像的結局不一樣….
整部電影有152分鐘，
裡面是滿滿滿的各種讓人驚喜訝異的元素，
有許多幽默有趣的笑點，
當然也是會覺得有諸多感觸的成份….
這裡提供我詳細的觀影心得給大家參考：
https://youtu.be/Un3FGRxZQ18",5,最後的絕地武士,good
27,OMFG的評論比台灣做出來的影評記錄準的多，可以參考，這片77分，不多不少,5,最後的絕地武士,good
28,"我認為這部是星戰系列最精彩好看的一集, 我稱它為""天行者路克傳奇最終章"", 結局很感人, 星戰系列從1979到現在將近40年了, 路克, 莉亞公主, 韓索羅, R2D2, 陪著我們走過, 韓索羅在原力覺醒走了, 路克在這集為了拯救最後殘存的反抗軍也犧牲了, 真實世界中嘉莉費雪也走了, 新一代的絕地武士芮將會繼承絕地武士的精神和傳奇繼續帶領反抗軍對抗帝國. 
  再來談觀影體驗, 絕佳的視覺效果, 震撼的音效, 扣人心弦的情節, 延續第一集以來的恩怨糾葛, 愛恨情仇, 很強的張力, 尤其最後的對決, 是全片最精彩的橋段, 我很佩服導演能想出如此的主意, 真的太精彩了. 路克最後和黑武士對抗說的那句話: ""我不會是最後的絕地武士, 因為已經有比我更強大的絕地武士產生了"", 真的超熱血的一句話. 星戰系列會有新的繼承者繼續不朽的傳奇故事. 如果沒有看過之前的系列可能會無法感受和體會, 可能會和許多人的感想一樣, 這只是部視覺特效/音效很棒但故事不知所云的電影. 所以也不能責怪給負評的人.
  總之2019的最終章是把星戰系列做一個總結, 新一代絕地武士芮和新一代黑武士的最後對決, 反抗軍和帝國對抗的命運, 真的超讓人期待的. 再見了天行者路克!",5,最後的絕地武士,good
29,低成本，沒場面，沒卡斯，爛劇本，廢話拖戲，像在看青春連續劇,1,最後的絕地武士,bad
30,"身為一個星戰追逐者

從前7集+上外傳俠盜

這部片真的有讓人失望

第一次看過有些令人感到高潮絕起的地方

第二次進去看的時候就在中間部分打瞌睡了

中間部分就是只芬恩出任務跟芮訓練過程

這兩塊完全感覺不到想看的吸引力

尤其是路克教學部分感覺根本沒在教學

然後芮也像是橫空出世一般的變強大

中間尤達出現倒是讓我惠心一笑

相信也有不少人對這一幕感到開心

然後史諾克 史諾克 史諾克就死

他也算是劇中大魔王吧

最後應該就是整片最大悲劇

路克就這樣葛屁了

明明他有能力解決凱羅忍

就像是故意放掉機會一樣

讓這個小魔王能繼續維持在第九集

這種讓大魔王先領便當 搞個小魔王繼承位子

然後明明小魔王只是一個愛暴怒的小朋友而已

竟然要領導整個第一軍團!!!

我不知道這樣的角色能領導邪惡勢力打贏一堆有智商高EQ的反抗勢力嗎

感覺像是蠻族跟訓練有素的兵團對決一樣

簡語:

開始精彩 中間分支劇情薄弱 片尾非常糟糕

不如還真照馬克漢米爾頓所說的一樣

讓路克不要變成一個憤世的老頭

讓她變成一個努力為自己錯誤負責任的偉大大師",1,最後的絕地武士,bad
31,今年看過最難看的電影  看完心情很糟,1,最後的絕地武士,bad
32,不管是劇情描述、打鬥場面、角色發揮，都比上一集好看。,5,最後的絕地武士,good
33,"即使評論看起來好像很多人在哭么,但滿意度還是有4分,再怎麼哭,錢也已經花了,下一集出來相信還是會繼續掏錢的。
就是個娛樂消遣,2.3百元花不起?可以考慮以後都用租的就好啊!怎麼那麼愛鬼叫...怎麼不直接跟片商或製作團隊提出意見?在這裡講得義憤填膺,就值回票價了嗎?
看評論再決定要不要去看電影的人,我個人建議都不要去看任何電影比較好,因為你應該缺乏思考能力。",5,最後的絕地武士,good
34,"比上一集難看 不知道在演什麼 
笑點也很詭異 怪獸們也很假 很醜
看到睡著",1,最後的絕地武士,bad
35,這集有比上集進步喔.但是還是比不上盧卡斯執導星戰首部~三部曲.配角的談情說愛太多餘.Luc Skywalker就這樣領便當了..太可惜了,3,最後的絕地武士,soso
36,"比第七集好看太多了
終於有星際大戰的感覺",5,最後的絕地武士,good
37,我是星戰粉絲，我怎麼覺得第八集的光劍打鬥非常難看，完全比不上第三集「星際大戰三部曲：西斯大帝的復仇」，而且論劇情還有造型等等，我還是覺得第八集每況愈下。,1,最後的絕地武士,bad
38,"和家人看完後,只有1個感覺--不覺得坐了150分那麼久
劇情流暢,但 感覺少了點什麼",5,最後的絕地武士,good
39,看到睡著，可能我不是星戰迷，單純以電影欣賞入場看片，整個很好睡,1,最後的絕地武士,bad
