公司,年月,TCRI,總分,規模,獲利,安全,效率,CFO,CFO不一致,利息支出率,資產報酬%,營業利益%,借款息%,平均收款天增減,平均售貨天增減,借款依存度%,營收,TSE產業別
1233 天仁,2013/12/31,4,585.0,14.0,75.0,99.0,37.0,2.91,,0.02,11.31,11.56,2.46,-1.0,0.0,3.0,21.0,2
1236 宏亞,2013/12/31,6,515.0,20.0,50.0,85.0,69.0,5.05,,0.3,6.19,7.24,1.32,-7.0,-12.0,34.0,27.0,2
1301 台塑,2013/12/31,3,760.0,140.0,31.0,100.0,88.0,162.68,,0.7,5.67,2.08,1.49,0.0,-5.0,39.0,2154.0,3
1307 三芳,2013/12/31,4,666.0,78.0,56.0,98.0,50.0,13.79,,0.36,6.83,9.06,1.41,-2.0,7.0,41.0,105.0,3
1309 台達化,2013/12/31,6,443.0,102.0,0.0,57.0,69.0,-6.64,,0.31,0.39,-0.58,1.43,1.0,3.0,124.0,214.0,3
1310 台苯,2013/12/31,7,730.0,98.0,64.0,84.0,91.0,23.89,,0.38,10.61,5.11,2.61,-7.0,-1.0,32.0,204.0,3
1314 中石化,2013/12/31,5,658.0,140.0,-5.0,100.0,92.0,2.89,,0.03,-2.16,-2.6,0.57,-2.0,1.0,9.0,353.0,3
1316 上曜,2013/12/31,8,192.0,13.0,-17.0,86.0,-40.0,-1.41,,2.39,-4.94,-9.1,3.62,9.0,79.0,55.0,13.0,21
1321 大洋,2013/12/31,6,459.0,58.0,1.0,87.0,81.0,2.2,,0.32,0.33,1.31,1.49,0.0,-4.0,26.0,59.0,3
1323 永裕,2013/12/31,5,610.0,26.0,80.0,88.0,54.0,6.63,,0.8,9.44,13.39,2.48,-4.0,-2.0,58.0,33.0,3
1326 台化,2013/12/31,3,761.0,140.0,40.0,94.0,80.0,390.44,,0.64,5.77,4.84,1.66,-1.0,-1.0,51.0,4280.0,3
1413 宏洲,2013/12/31,8,163.0,32.0,-33.0,40.0,76.0,1.17,,0.53,-7.67,-7.38,2.04,-2.0,-25.0,129.0,47.0,4
1414 東和,2013/12/31,6,417.0,19.0,26.0,100.0,2.0,1.44,,0.11,2.81,7.32,1.0,1.0,12.0,6.0,13.0,4
1432 大魯閣,2013/12/31,8,211.0,12.0,-17.0,93.0,-40.0,-7.07,+,2.71,-6.39,-16.34,9.32,-1.0,2.0,13.0,9.0,18
1442 名軒,2013/12/31,6,519.0,55.0,110.0,24.0,8.0,18.15,,3.76,12.56,34.89,2.55,-5.0,-2301.0,128.0,40.0,14
1447 力鵬,2013/12/31,5,674.0,119.0,38.0,84.0,70.0,4.95,,0.24,6.04,3.52,1.24,12.0,-6.0,40.0,265.0,4
1449 佳和,2013/12/31,D,95.0,33.0,-18.0,15.0,37.0,-4.14,,1.41,-2.85,-5.14,3.05,1.0,-11.0,163.0,37.0,4
1451 年興,2013/12/31,4,608.0,90.0,36.0,93.0,40.0,7.81,,0.12,5.6,4.77,1.06,-1.0,-4.0,16.0,139.0,4
1452 宏益,2013/12/31,5,465.0,15.0,19.0,100.0,77.0,1.73,,0.02,3.54,3.84,2.22,0.0,4.0,0.0,22.0,4
1453 大將,2013/12/31,7,282.0,4.0,5.0,100.0,-40.0,-0.33,,0.05,1.74,2.64,1.09,12.0,178.0,1.0,3.0,4
1456 怡華,2013/12/31,D,-239.0,10.0,28.0,-101.0,-40.0,-10.01,+,7.92,2.18,11.86,3.38,54.0,228.0,299.0,8.0,4
1457 宜進,2013/12/31,7,341.0,49.0,-2.0,58.0,75.0,-0.92,,1.99,-0.17,-1.26,2.49,4.0,2.0,90.0,44.0,4
1472 三洋紡,2013/12/31,9,79.0,6.0,-28.0,30.0,61.0,0.16,,1.99,-7.05,-3.23,2.93,2.0,-7.0,138.0,9.0,4
1475 本盟,2013/12/31,9,-85.0,2.0,-60.0,16.0,43.0,-0.46,,9.23,-17.09,-19.78,4.48,-7.0,6.0,95.0,2.0,4
1477 聚陽,2013/12/31,3,744.0,92.0,90.0,77.0,60.0,9.84,+,0.2,14.87,9.05,4.08,-2.0,0.0,31.0,179.0,4
1503 士電,2013/12/31,4,586.0,126.0,13.0,91.0,21.0,17.33,,0.21,2.08,3.98,1.26,14.0,-8.0,15.0,196.0,5
1506 正道,2013/12/31,7,240.0,12.0,-11.0,81.0,7.0,0.56,,2.03,-4.82,-2.28,7.45,11.0,-11.0,27.0,14.0,5
1507 永大,2013/12/31,4,698.0,123.0,64.0,100.0,-40.0,24.86,,0.0,6.08,10.42,2.22,-25.0,72.0,0.0,199.0,5
1513 中興電,2013/12/31,5,556.0,80.0,36.0,100.0,-13.0,1.16,,0.17,4.29,5.8,1.24,-1.0,-7.0,15.0,101.0,5
1515 力山,2013/12/31,6,354.0,34.0,2.0,80.0,41.0,0.24,,1.24,1.2,1.68,2.82,17.0,2.0,64.0,33.0,5
1516 川飛,2013/12/31,9,337.0,1.0,9.0,70.0,100.0,0.05,,0.13,2.8,0.53,1.89,-30.0,0.0,15.0,1.0,20
1521 大億,2013/12/31,4,605.0,29.0,68.0,95.0,58.0,3.96,,0.03,10.26,6.44,2.47,6.0,0.0,0.0,42.0,5
1525 江申,2013/12/31,6,493.0,16.0,44.0,100.0,30.0,-0.03,,0.0,8.83,2.83,0.0,30.0,0.0,0.0,12.0,5
1529 樂士,2013/12/31,9,108.0,1.0,-23.0,72.0,-40.0,0.24,,3.73,-9.35,-53.9,3.61,-622.0,-62.0,30.0,1.0,5
1532 勤美,2013/12/31,7,508.0,120.0,36.0,67.0,-40.0,-1.65,+,1.97,3.27,9.6,1.97,-2.0,40.0,64.0,149.0,5
1535 中宇,2013/12/31,4,711.0,67.0,62.0,100.0,91.0,22.78,,0.06,8.76,5.22,7.18,1.0,-27.0,0.0,103.0,5
1538 正峰新,2013/12/31,9,115.0,9.0,-32.0,38.0,79.0,0.74,,3.13,-9.53,-26.6,2.61,-19.0,2.0,105.0,8.0,5
1539 巨庭,2013/12/31,7,417.0,12.0,49.0,69.0,40.0,3.2,,0.94,6.12,5.5,3.39,-21.0,-25.0,72.0,20.0,5
1558 伸興,2013/12/31,4,754.0,44.0,101.0,100.0,62.0,10.62,,0.03,16.04,15.4,0.82,-6.0,2.0,10.0,56.0,5
1560 中砂,2013/12/31,4,670.0,37.0,95.0,93.0,32.0,8.85,,0.01,12.87,18.65,0.32,-1.0,7.0,10.0,41.0,5
1583 程泰,2013/12/31,6,456.0,60.0,58.0,68.0,-40.0,5.98,,0.7,6.02,10.4,1.33,8.0,30.0,82.0,59.0,5
1611 中電,2013/12/31,6,253.0,48.0,-6.0,69.0,-32.0,1.64,,3.2,-2.31,-2.81,3.2,60.0,103.0,64.0,32.0,6
1612 宏泰,2013/12/31,4,417.0,40.0,-4.0,100.0,50.0,2.67,,0.05,-1.79,-3.1,2.1,16.0,5.0,2.0,43.0,6
1614 三洋電,2013/12/31,4,507.0,47.0,13.0,100.0,74.0,6.82,,0.07,3.16,2.09,1.19,3.0,8.0,6.0,51.0,6
1618 合機,2013/12/31,5,407.0,27.0,-1.0,100.0,56.0,2.89,,0.0,-0.51,-0.89,0.0,13.0,13.0,0.0,25.0,6
1701 中化,2013/12/31,6,384.0,60.0,21.0,78.0,-34.0,4.05,,0.79,2.61,4.54,1.31,-9.0,-2.0,65.0,52.0,22
1707 葡萄王,2013/12/31,4,775.0,42.0,120.0,100.0,32.0,15.76,,0.0,27.69,23.82,0.41,-4.0,0.0,1.0,56.0,22
1718 中纖,2013/12/31,7,602.0,140.0,34.0,49.0,74.0,25.8,,1.66,0.56,10.27,1.84,16.0,-8.0,76.0,318.0,21
1721 三晃,2013/12/31,8,303.0,11.0,-7.0,83.0,55.0,1.87,,0.77,-2.49,-2.36,2.58,-13.0,-4.0,59.0,17.0,21
1723 中碳,2013/12/31,3,881.0,65.0,120.0,100.0,92.0,23.38,,0.03,28.0,27.44,1.88,-1.0,-3.0,1.0,88.0,21
1724 台硝,2013/12/31,6,443.0,12.0,21.0,92.0,82.0,3.34,,0.22,0.42,9.73,1.19,1.0,-8.0,17.0,15.0,21
1726 永記,2013/12/31,3,657.0,64.0,75.0,100.0,3.0,7.9,,0.01,10.7,13.69,2.7,0.0,4.0,0.0,81.0,21
1732 毛寶,2013/12/31,6,312.0,3.0,-3.0,100.0,14.0,0.1,,0.0,-1.45,-1.92,0.0,-2.0,15.0,0.0,6.0,21
1733 五鼎,2013/12/31,4,623.0,16.0,99.0,100.0,-5.0,4.85,,0.33,13.56,19.88,1.56,-7.0,-5.0,20.0,18.0,22
1762 中化生,2013/12/31,6,341.0,13.0,42.0,73.0,-28.0,1.45,,1.18,3.51,11.51,1.45,-1.0,29.0,53.0,10.0,22
1786 科妍,2013/12/31,6,419.0,2.0,52.0,100.0,-40.0,0.37,,0.02,4.95,15.05,0.0,2.0,83.0,0.0,2.0,22
1805 寶徠,2013/12/31,8,587.0,15.0,84.0,69.0,99.0,9.5,,1.63,9.82,7.64,3.63,-81.0,-3937.0,20.0,25.0,14
1902 台紙,2013/12/31,5,451.0,64.0,0.0,95.0,39.0,7.38,,0.54,0.62,-1.95,1.7,-4.0,-11.0,35.0,66.0,9
1903 士紙,2013/12/31,7,319.0,31.0,-11.0,70.0,79.0,-2.07,,0.69,-2.21,-9.68,1.07,-3.0,1.0,40.0,20.0,9
1904 正隆,2013/12/31,4,572.0,140.0,20.0,62.0,45.0,38.88,,1.34,2.77,3.91,2.63,5.0,2.0,92.0,438.0,9
1905 華紙,2013/12/31,5,531.0,122.0,-6.0,92.0,28.0,-2.57,,0.19,-2.29,-3.95,0.98,-83.0,-138.0,19.0,202.0,9
1907 永豐餘,2013/12/31,4,509.0,140.0,0.0,61.0,44.0,13.65,,1.17,0.73,-0.06,1.65,0.0,2.0,99.0,567.0,9
2002 中鋼,2013/12/31,3,590.0,140.0,32.0,53.0,55.0,544.82,,1.1,3.28,7.1,1.37,-3.0,-10.0,90.0,3478.0,10
2008 高興昌,2013/12/31,8,234.0,18.0,-34.0,77.0,69.0,-5.89,,6.11,-8.32,-26.36,5.91,6.0,5.0,7.0,13.0,10
2013 中鋼構,2013/12/31,5,501.0,102.0,25.0,59.0,44.0,-11.53,+,0.28,3.32,2.12,1.38,6.0,-2.0,96.0,196.0,10
2020 美亞,2013/12/31,7,462.0,47.0,22.0,82.0,59.0,4.29,,0.83,3.09,4.7,2.29,0.0,-7.0,37.0,53.0,10
2025 千興,2013/12/31,8,245.0,27.0,-31.0,65.0,89.0,-1.96,,0.53,-11.91,-8.64,2.09,0.0,-25.0,64.0,41.0,10
2027 大成鋼,2013/12/31,7,331.0,140.0,2.0,28.0,-40.0,-2.19,+,1.42,1.33,2.08,2.6,2.0,19.0,156.0,386.0,10
2028 威致,2013/12/31,8,143.0,65.0,-16.0,-7.0,82.0,-9.47,+,0.84,-3.84,-3.54,2.77,0.0,0.0,191.0,104.0,10
2034 允強,2013/12/31,4,635.0,105.0,33.0,89.0,60.0,6.56,,0.16,5.83,2.28,1.05,2.0,-1.0,54.0,238.0,10
2049 上銀,2013/12/31,4,599.0,105.0,86.0,57.0,-40.0,26.2,,1.36,7.75,23.22,1.45,16.0,19.0,102.0,124.0,5
2059 川湖,2013/12/31,3,789.0,43.0,119.0,100.0,46.0,18.07,,0.39,20.52,39.68,2.38,4.0,5.0,7.0,38.0,28
2062 橋椿,2013/12/31,4,736.0,55.0,91.0,100.0,53.0,8.88,,0.34,12.65,16.21,1.15,-1.0,4.0,42.0,59.0,20
2103 台橡,2013/12/31,4,713.0,140.0,43.0,78.0,70.0,42.01,,0.54,5.42,6.24,1.57,-6.0,10.0,65.0,344.0,11
2104 國際中橡,2013/12/31,4,689.0,127.0,39.0,87.0,57.0,20.32,,1.84,3.87,11.18,4.12,0.0,1.0,48.0,215.0,11
2105 正新,2013/12/31,3,878.0,140.0,100.0,74.0,76.0,281.82,,0.9,12.57,16.69,1.84,2.0,-6.0,74.0,1331.0,11
2204 中華,2013/12/31,4,739.0,140.0,29.0,100.0,73.0,30.31,,0.08,4.86,3.93,2.33,3.0,10.0,3.0,355.0,12
2206 三陽工業,2013/12/31,6,500.0,140.0,-3.0,59.0,53.0,-16.39,+,1.1,-0.29,-2.86,2.78,1.0,3.0,90.0,326.0,12
2301 光寶科,2013/12/31,3,717.0,140.0,41.0,86.0,55.0,207.65,,0.33,5.0,4.86,1.54,4.0,0.0,55.0,2132.0,25
2308 台達電,2013/12/31,1,865.0,140.0,77.0,100.0,54.0,254.38,,0.1,10.21,11.41,0.87,5.0,-2.0,22.0,1771.0,28
2314 台揚,2013/12/31,8,270.0,52.0,-39.0,74.0,60.0,1.07,,0.58,-10.96,-11.25,1.94,-18.0,-7.0,67.0,68.0,27
2316 楠梓電,2013/12/31,5,490.0,64.0,16.0,89.0,50.0,7.6,,0.63,2.76,2.79,1.6,7.0,8.0,38.0,61.0,28
2323 中環,2013/12/31,7,503.0,122.0,-16.0,86.0,48.0,16.9,,1.84,-5.61,-14.26,3.05,-5.0,5.0,27.0,156.0,26
2324 仁寶,2013/12/31,3,640.0,140.0,17.0,84.0,57.0,5.5,+,0.07,2.31,1.43,1.04,10.0,1.0,67.0,6927.0,25
2330 台積電,2013/12/31,1,995.0,140.0,112.0,100.0,80.0,3473.84,,0.44,17.02,35.19,1.29,2.0,0.0,27.0,5970.0,24
2331 精英,2013/12/31,4,697.0,140.0,13.0,100.0,79.0,46.03,,0.04,2.55,1.73,1.25,8.0,-1.0,9.0,634.0,25
2332 友訊,2013/12/31,4,641.0,137.0,16.0,96.0,31.0,1.91,,0.13,2.11,4.53,2.97,12.0,-5.0,7.0,306.0,27
2337 旺宏,2013/12/31,6,411.0,134.0,-30.0,81.0,-9.0,-5.85,,1.54,-10.48,-24.47,1.72,1.0,30.0,67.0,222.0,24
2338 光罩,2013/12/31,5,379.0,22.0,2.0,100.0,30.0,2.15,,0.15,1.27,1.32,2.29,6.0,19.0,1.0,18.0,24
2340 光磊,2013/12/31,5,560.0,66.0,36.0,100.0,22.0,8.41,,0.8,4.02,7.39,2.03,9.0,3.0,36.0,64.0,26
2344 華邦電,2013/12/31,6,617.0,140.0,7.0,91.0,45.0,72.52,,0.9,1.14,3.44,2.41,7.0,4.0,33.0,331.0,24
2348 海悅,2013/12/31,7,588.0,7.0,120.0,82.0,-32.0,-3.88,+,0.68,39.71,39.25,1.82,40.0,302.0,71.0,9.0,20
2353 宏碁,2013/12/31,4,567.0,140.0,-17.0,88.0,74.0,-86.51,,0.25,-5.05,-2.45,4.57,1.0,4.0,33.0,3601.0,25
2358 廷鑫,2013/12/31,7,316.0,6.0,-24.0,100.0,77.0,-0.8,,0.11,-12.82,-5.58,2.1,-43.0,3.0,11.0,16.0,20
2371 大同,2013/12/31,7,391.0,140.0,-10.0,30.0,50.0,58.08,,3.06,-1.82,-3.24,3.77,-1.0,1.0,140.0,1129.0,5
2376 技嘉,2013/12/31,4,769.0,140.0,42.0,98.0,69.0,17.45,,0.05,7.09,3.53,1.12,4.0,0.0,12.0,511.0,25
2383 台光電,2013/12/31,4,638.0,98.0,46.0,90.0,36.0,12.47,,0.3,6.27,4.82,1.83,8.0,3.0,44.0,169.0,28
2388 威盛,2013/12/31,8,194.0,61.0,-60.0,64.0,61.0,-27.3,+,1.19,-20.44,-29.27,2.26,3.0,-51.0,100.0,61.0,24
2390 云辰,2013/12/31,7,184.0,11.0,-12.0,80.0,-40.0,0.52,,1.41,-3.68,-11.61,2.05,3.0,31.0,21.0,9.0,31
2392 正崴,2013/12/31,4,660.0,140.0,23.0,80.0,71.0,83.76,,0.27,3.32,1.8,1.64,7.0,1.0,58.0,1062.0,28
2408 南亞科,2013/12/31,9,-165.0,140.0,104.0,-272.0,60.0,133.35,,3.24,10.7,-5.44,1.77,-15.0,17.0,774.0,452.0,24
2409 友達,2013/12/31,7,550.0,140.0,6.0,58.0,79.0,496.42,,1.21,1.74,2.09,2.5,-6.0,-4.0,104.0,4164.0,26
2412 中華電,2013/12/31,1,887.0,140.0,81.0,91.0,91.0,752.79,,0.02,9.27,21.0,1.71,-1.0,0.0,1.0,2280.0,27
2419 仲琦,2013/12/31,6,451.0,53.0,15.0,89.0,33.0,-2.09,+,0.39,2.42,3.31,2.03,0.0,22.0,54.0,68.0,27
2429 銘旺科,2013/12/31,9,207.0,4.0,-32.0,88.0,30.0,-0.7,,0.49,-10.52,-12.72,2.29,42.0,6.0,8.0,6.0,28
2438 翔耀,2013/12/31,D,143.0,1.0,-8.0,69.0,-40.0,-0.25,,2.75,-1.12,-104.55,11.81,-440.0,64.0,0.0,0.0,26
2439 美律,2013/12/31,4,761.0,74.0,85.0,100.0,58.0,21.63,,0.05,12.23,12.27,1.57,-23.0,-26.0,6.0,113.0,27
2444 兆勁,2013/12/31,8,278.0,10.0,-17.0,86.0,52.0,0.78,,0.55,-8.76,0.22,2.37,8.0,-19.0,38.0,15.0,27
2448 晶電,2013/12/31,4,530.0,135.0,7.0,93.0,-40.0,25.24,,1.76,1.08,3.76,2.49,19.0,2.0,41.0,222.0,26
2450 神腦,2013/12/31,4,841.0,126.0,71.0,95.0,91.0,-2.41,+,0.02,13.42,3.34,4.65,-7.0,3.0,0.0,427.0,27
2451 創見,2013/12/31,2,860.0,129.0,81.0,100.0,61.0,37.11,,0.02,12.7,12.79,2.27,1.0,5.0,3.0,261.0,24
2461 光群雷,2013/12/31,6,515.0,39.0,46.0,94.0,16.0,3.77,,0.93,6.02,6.54,2.1,8.0,2.0,52.0,41.0,31
2472 立隆電,2013/12/31,5,536.0,52.0,51.0,87.0,21.0,7.82,,0.6,6.51,7.48,1.62,8.0,-3.0,52.0,57.0,28
2474 可成,2013/12/31,3,893.0,140.0,102.0,100.0,8.0,201.33,,0.71,13.5,32.18,1.35,2.0,3.0,28.0,432.0,31
2475 華映,2013/12/31,8,354.0,140.0,-12.0,9.0,83.0,56.94,,2.94,-2.07,-1.78,3.88,-1.0,1.0,174.0,587.0,26
2484 希華,2013/12/31,6,444.0,24.0,26.0,98.0,26.0,5.3,,0.65,3.12,6.4,2.1,-2.0,-16.0,25.0,25.0,28
2485 兆赫,2013/12/31,3,670.0,67.0,58.0,100.0,62.0,12.22,,0.05,8.56,8.93,2.39,-7.0,-21.0,3.0,84.0,27
2486 一詮,2013/12/31,6,458.0,60.0,16.0,91.0,17.0,14.1,,1.14,2.18,4.97,2.81,23.0,-5.0,65.0,67.0,26
2491 吉祥全,2013/12/31,D,-648.0,12.0,-38.0,-172.0,-40.0,-3.15,,3.59,-6.53,-30.12,1.56,-19.0,9.0,430.0,9.0,26
2498 宏達電,2013/12/31,3,612.0,140.0,-5.0,91.0,73.0,-160.76,+,0.0,-1.96,-1.75,0.34,-7.0,10.0,0.0,2034.0,27
2504 國產,2013/12/31,4,602.0,140.0,8.0,80.0,59.0,29.37,,0.94,2.21,1.08,1.63,-5.0,-7.0,70.0,316.0,14
2506 太設,2013/12/31,8,345.0,49.0,28.0,39.0,44.0,0.6,,7.19,5.13,-1.95,4.19,-1.0,-285.0,76.0,34.0,14
2509 全坤建,2013/12/31,5,355.0,4.0,79.0,50.0,-40.0,-2.95,+,12.97,8.29,135.08,4.85,4.0,3757.0,19.0,4.0,14
2511 太子,2013/12/31,6,563.0,126.0,50.0,37.0,49.0,-3.06,+,3.22,4.12,11.62,2.37,49.0,-34.0,130.0,172.0,14
2515 中工,2013/12/31,6,450.0,119.0,2.0,82.0,-40.0,8.37,,0.99,0.86,1.77,1.74,7.0,-8.0,40.0,143.0,14
2527 宏璟,2013/12/31,7,160.0,36.0,44.0,-2.0,-40.0,-26.74,+,7.22,3.23,13.67,2.06,0.0,-192.0,143.0,24.0,14
2528 皇普,2013/12/31,9,632.0,12.0,74.0,100.0,87.0,10.96,,0.53,8.86,14.25,1.55,-229.0,-8889.0,16.0,19.0,14
2534 宏盛,2013/12/31,6,-93.0,10.0,-10.0,-14.0,-40.0,-13.68,+,27.77,-1.29,-38.88,1.99,-9.0,-8889.0,126.0,8.0,14
2536 宏普,2013/12/31,5,361.0,57.0,69.0,27.0,-40.0,-22.01,+,4.11,4.82,31.58,1.74,14.0,411.0,109.0,40.0,14
2540 愛山林,2013/12/31,9,570.0,6.0,114.0,73.0,-1.0,-3.68,+,1.89,17.27,41.21,8.52,47.0,254.0,7.0,5.0,14
2547 日勝生,2013/12/31,8,754.0,140.0,120.0,9.0,88.0,171.54,,3.74,16.61,35.48,3.23,-38.0,-8889.0,158.0,304.0,14
2606 裕民,2013/12/31,4,520.0,84.0,17.0,79.0,44.0,25.99,,4.21,1.68,6.84,1.37,2.0,0.0,91.0,71.0,15
2610 華航,2013/12/31,6,251.0,140.0,-2.0,-25.0,48.0,200.75,,1.6,0.03,0.62,1.83,-3.0,0.0,234.0,1417.0,15
2611 志信,2013/12/31,8,307.0,23.0,-7.0,86.0,-8.0,-0.49,,2.34,-2.42,-3.76,2.8,76.0,-90.0,42.0,16.0,15
2612 中航,2013/12/31,5,434.0,49.0,36.0,59.0,44.0,7.99,,6.54,2.2,14.37,1.89,5.0,0.0,107.0,33.0,15
2613 中櫃,2013/12/31,7,425.0,31.0,14.0,91.0,32.0,2.18,,1.0,1.8,4.31,2.01,3.0,0.0,47.0,25.0,15
2616 山隆,2013/12/31,5,587.0,81.0,29.0,91.0,47.0,4.81,,0.01,4.84,1.05,0.77,0.0,0.0,9.0,198.0,23
2633 台灣高鐵,2013/12/31,9,-481.0,140.0,58.0,-302.0,18.0,198.35,,27.1,2.02,31.56,2.16,0.0,20.0,1041.0,361.0,15
2636 台驊投控,2013/12/31,6,463.0,44.0,17.0,92.0,31.0,0.98,,0.17,2.82,2.0,1.7,5.0,0.0,53.0,83.0,15
2642 宅配通,2013/12/31,5,568.0,16.0,63.0,100.0,36.0,1.79,,0.0,9.61,8.11,0.0,-1.0,0.0,0.0,26.0,15
2705 六福,2013/12/31,7,231.0,37.0,-7.0,58.0,-40.0,-0.9,,3.23,-1.19,-6.09,2.45,4.0,39.0,62.0,25.0,16
2727 王品,2013/12/31,4,746.0,82.0,85.0,100.0,-38.0,24.29,,0.0,13.48,9.6,0.0,1.0,-5.0,0.0,149.0,16
2739 寒舍,2013/12/31,-,559.0,31.0,70.0,80.0,41.0,9.28,,0.64,9.1,9.39,3.27,,,26.0,44.0,16
2841 台開,2013/12/31,9,312.0,38.0,67.0,25.0,-40.0,42.68,,10.41,4.87,32.78,3.49,-378.0,3462.0,63.0,25.0,14
2905 三商,2013/12/31,5,717.0,140.0,13.0,100.0,99.0,966.52,,0.08,0.27,-2.04,1.18,2.0,-1.0,49.0,1641.0,18
2915 潤泰全,2013/12/31,6,777.0,76.0,120.0,74.0,44.0,-0.99,,4.85,95.78,-18.69,2.12,-15.0,1.0,11.0,61.0,18
3004 豐達科,2013/12/31,6,404.0,10.0,69.0,48.0,33.0,3.37,,2.11,6.24,14.51,2.15,3.0,25.0,124.0,11.0,10
3008 大立光,2013/12/31,2,986.0,140.0,120.0,100.0,46.0,113.0,,0.0,27.6,39.34,0.04,-3.0,4.0,0.0,274.0,26
3015 全漢,2013/12/31,4,617.0,91.0,28.0,100.0,52.0,6.64,,0.03,4.08,3.0,2.9,-2.0,-2.0,2.0,154.0,28
3018 同開,2013/12/31,7,238.0,5.0,-3.0,92.0,-40.0,0.64,,0.26,-0.88,-2.46,1.96,-32.0,0.0,27.0,7.0,31
3026 禾伸堂,2013/12/31,4,632.0,95.0,30.0,100.0,53.0,3.98,,0.16,4.49,4.15,0.94,-9.0,-3.0,32.0,159.0,28
3027 盛達,2013/12/31,6,380.0,11.0,4.0,100.0,48.0,-3.55,,0.36,1.92,-0.49,1.08,8.0,9.0,27.0,11.0,27
3036 文曄,2013/12/31,4,643.0,140.0,30.0,77.0,42.0,2.11,+,0.14,4.13,2.05,1.23,7.0,0.0,82.0,878.0,29
3037 欣興,2013/12/31,3,641.0,140.0,11.0,87.0,69.0,90.02,,0.84,1.85,3.47,1.58,1.0,-1.0,65.0,599.0,28
3041 揚智,2013/12/31,4,460.0,45.0,0.0,100.0,69.0,1.45,,0.0,0.05,0.99,0.0,11.0,25.0,0.0,42.0,24
3045 台灣大,2013/12/31,1,881.0,140.0,113.0,61.0,80.0,248.33,,0.39,14.89,19.44,1.47,6.0,3.0,87.0,1084.0,27
3049 和鑫,2013/12/31,8,232.0,67.0,104.0,-87.0,47.0,31.89,,6.44,8.52,61.89,2.18,-21.0,-82.0,288.0,52.0,26
3052 夆典,2013/12/31,6,748.0,59.0,118.0,71.0,63.0,19.78,,1.0,17.3,15.86,2.31,-23.0,-417.0,65.0,82.0,14
3054 立萬利,2013/12/31,6,616.0,16.0,79.0,100.0,47.0,-0.89,,0.18,12.07,9.53,2.12,-2.0,47.0,15.0,24.0,24
3058 立德,2013/12/31,6,442.0,48.0,12.0,90.0,39.0,1.82,,0.12,2.14,2.67,1.24,16.0,6.0,25.0,62.0,28
3090 日電貿,2013/12/31,6,469.0,49.0,35.0,88.0,3.0,2.19,,0.53,5.56,3.4,1.8,-33.0,-36.0,64.0,64.0,28
3130 一零四,2013/12/31,5,689.0,14.0,90.0,100.0,93.0,3.64,,0.01,13.55,12.93,3.48,-4.0,0.0,0.0,22.0,30
3149 正達,2013/12/31,5,420.0,86.0,-19.0,76.0,75.0,14.54,,1.96,-5.68,-12.41,3.01,-11.0,-16.0,75.0,100.0,26
3167 大量,2013/12/31,5,476.0,18.0,60.0,100.0,-40.0,1.61,,0.67,7.38,7.85,2.21,17.0,-16.0,46.0,22.0,5
3321 同泰,2013/12/31,-,552.0,23.0,88.0,78.0,9.0,3.87,,0.99,11.97,7.63,3.14,-8.0,-8.0,91.0,33.0,28
3406 玉晶光,2013/12/31,5,424.0,79.0,-7.0,74.0,65.0,6.11,,1.22,-1.93,-4.29,3.55,8.0,12.0,40.0,96.0,26
3494 誠研,2013/12/31,7,289.0,22.0,-6.0,93.0,-15.0,1.94,,0.96,-2.35,-3.55,2.02,2.0,8.0,36.0,21.0,25
3528 安馳,2013/12/31,6,548.0,15.0,58.0,100.0,44.0,-0.27,,0.08,9.45,5.98,1.91,4.0,4.0,16.0,25.0,29
3532 台勝科,2013/12/31,5,539.0,93.0,14.0,87.0,51.0,27.08,,0.4,1.51,5.66,1.51,7.0,6.0,9.0,99.0,24
3591 艾笛森,2013/12/31,6,396.0,32.0,-3.0,100.0,41.0,1.61,,0.51,-0.4,-3.77,1.5,-16.0,-20.0,37.0,27.0,26
3593 力銘,2013/12/31,7,255.0,2.0,-45.0,100.0,86.0,-2.01,,1.52,-19.91,-204.46,2.02,113.0,1.0,7.0,2.0,28
3605 宏致,2013/12/31,4,498.0,42.0,30.0,97.0,33.0,5.35,,0.48,3.09,7.48,1.79,8.0,3.0,29.0,40.0,28
3673 TPK-KY,2013/12/31,3,646.0,140.0,57.0,38.0,83.0,185.26,,0.68,6.1,6.84,2.02,23.0,-3.0,156.0,1591.0,26
3682 亞太電,2013/12/31,3,782.0,131.0,42.0,100.0,94.0,56.09,,0.03,5.13,9.33,7.0,3.0,1.0,0.0,201.0,27
3701 大眾控,2013/12/31,9,325.0,86.0,-12.0,44.0,59.0,9.5,,0.84,-3.31,-3.58,1.8,-16.0,-6.0,124.0,128.0,25
3702 大聯大,2013/12/31,4,620.0,140.0,31.0,57.0,75.0,-46.91,+,0.19,4.21,1.53,1.65,-5.0,-4.0,128.0,4063.0,29
3705 永信,2013/12/31,4,559.0,52.0,66.0,99.0,-40.0,12.24,,0.4,8.3,12.95,2.22,0.0,-29.0,19.0,51.0,22
4119 旭富,2013/12/31,5,526.0,14.0,69.0,100.0,-11.0,2.39,,0.7,7.29,16.65,1.52,-3.0,15.0,32.0,13.0,22
