company,content,date
2331 精英,巴西最大電腦公司Positivo將於今年3月推出新款迷你筆電（Netbook），市場盛傳將由藍天（2362）獨家代工；法人指出，藍天今年在新興市場需求帶動下，出貨量上看175萬台，較去年成長達兩成，遠較其他NB廠高。  巴西「時代雜誌」（Epoca）預測，今年當地PC市場將是迷你筆電的天下，而Positivo為當地最大迷你筆電銷售廠商，去年委由廣達（2382）、  （  ）及微星（2377）代工，不過市場盛傳，明年Positivo將推新款迷你筆電，將由藍天獨攬設計組裝。Positivo於去年5月在巴西推出Netbook Mobo系列，針對成人使用者或企業人士；Mobo Kids專為中小學生的需要而設計，今年計畫將從3月起推全新迷你筆電。  花旗環球昨日發布報告指出，預估迷你筆電今年將持續提高市場滲透率，出貨量將較去年成長122%，出貨比重也提升至18%。藍天昨日股價隨月均線持續上攻，盤中急拉漲停，收盤價27.2元，成交量6 785張。  ,2009/01/06
2331 精英,上市櫃公司即將結算半年報，主機板（MB）族群力拚財報表現，其中華擎（3515）與微星（2377）因主機板放量出貨、新款筆記型電腦（NB）進軍新興市場，可望扮演族群領頭羊，率先繳出亮麗季報成績單。  目前距半年報結算僅剩兩周左右，財報題材躍居焦點，主機板族群因急單挹注、業績增溫，法人預期整體表現可期，其中又以華擎、微星最令市場期待。  檢視剛出爐的5月營收，主機板類股僅華擎、微星較4月成長，華擎成長22.45%、微星成長7.66%；另外如  （  ）、映泰（2399）、友通（2397）、浩鑫（2405）、技嘉（2376）等營收月衰退幅度則在一成內。  華擎、微星在營運增溫業績題材下，昨（11）日股價表現強勢，華擎上漲6.2元、收95.3元漲停價，微星漲1.15元、收22.55元。  華擎自有品牌NB已在4月出貨，主攻拉丁美洲、中南美、東歐等新興市場。華擎表示，NB產品多鎖定400多美元的價格帶，全數交由和碩代工，借助和碩資源，產品成本競爭力可望優於二線NB廠，至於跨足NB，目的是在試水溫，將鎖定中低價位利基型NB產品。此外，華擎也推出貼牌的小型桌上電腦。  微星方面，在CULV（超低電壓）平台的NB、AIO（一體成形電腦）、小筆電等新品出貨帶動下，配合大陸廠房積極控管費用，毛利率已逐季攀升，加上零組件供應順暢，法人預估，微星上半年可望獲利。  微星繼小筆電後，熱銷中的CULV平台NB，也有機會與大陸電信業者中國移動合作推出3G綁約方案。微星與台灣及海外電信業者也有接觸，全力將CULV平台NB打進電信通路。法人看好微星今年NB銷量可望上看450萬台。  在電信通路方面，微星除了小筆電U100已是中國移動的合作產品，採用英特爾CULV架構的薄型NBX-Slim系列，也擬與中國移動合作。  微星指出，中國大陸3G用戶潛在市場大，中國移動目前約有4.7億多名用戶，只要有1%採用3G綁約方案，市場規模將可達470萬台，想像空間不小，微星會努力耕耘這個市場。  此外，在資策會研發協助下，微星也將發表Android小筆電，將有機會搶下國際大廠訂單。  資策會產業情報研究所（MIC）預估，2009年小筆電出貨量，相較於2008年將有倍數成長，預期達到2 300萬台規模。在各系統平台競逐的小筆電市場中，又以Android作業系統最受矚目。  ,2009/06/12
2331 精英,本業邁入成熟期之際，微星（2377）、技嘉（2376）、  （  ）等業者紛紛跨入NB、Netbook領域，產品多元化經營，有助分散營運風險，但NB與Netbook出貨是否暢旺，將是財報成績單亮眼與否的關鍵。  法人昨（7）日表示，由於NB價格逐年下滑及市場對PC行動需求的增加，NB滲透率正逐年提高，使NB成長率遠大於桌上型電腦（DT）的趨勢愈來愈明顯，也使NB在整個PC的比重逐漸拉高。  受惠於新興國家崛起，對DT需求量逐年放大，全球新興國家中，以大陸對主機板（MB）需求的成長最大；其次是亞洲其他新興國家崛起，快速帶動PC需求。  至於北美與西歐地區，受NB取代DT的效應較大，呈現較大滑落現象。其中西歐受NB效應，更是高於北美。  分析師指出，由於產品需求與區域性市場的變化，微星、技嘉等主機板業者近年來積極轉型，相繼發展NB、Netbook等新產品，希望藉由新舊產品的搭配以分散風險，增進新動能的雙重效果。  目前多元化產品經營的「策略型投資」風格，愈來愈受到全球基金經理人重視，這股風潮也逐漸影響台灣。「策略型投資」風潮不但著眼於過去的獲利能力，更放眼在未來的營運展望。  現階段台股檯面上的主機板族群如微星、技嘉等，因季報預期亮眼、未來展望佳，配合籌碼面和基本面等利多支撐、本益比落後其他次產業等，股價後續仍有表現機會。  ,2009/07/08
2331 精英,主機板（MB）產業邁入旺季，配合電腦應用展月底登場的CULV小筆電題材，MB類股昨（21）日強攻，微星（2377）領銜啟動融券回補行情；  （  ）、華擎（3515）表現同步亮眼，MB族群有機會引爆軋空走勢。  邁入除權息旺季後，融券率先面臨回補壓力，配合主機板進入產業旺季，出貨增量、CULV及Win7的新款筆記型電腦（NB）又獲台北電腦應用展加持，微星、  、華擎等近期股價表現強勢。  法人指出，MB族群第二季淡季不淡，半年報與季報預期亮眼，第三季是產業旺季，更是除權息密集期，微星等高融券個股已啟動融券回補行情。  此外，MB族群有低本益比、高殖利率優勢，融券回補引動的軋空走勢備受矚目。  觀察目前MB族群的除權息時程，華擎預計7月30日、微星是8月6日，若往前推算，華擎的融券最後回補日在本周五（24日），微星最後回補日在31日。  分析MB族群的資券狀況，無論在融券張數及券資比上，都以微星最高，融券高達7 289張、券資比達16%。  換言之，為數不少的融券必須在八個交易日內強制回補，軋空走勢有機會展開。  微星第二季NB及Netbook可望較首季成長四成，毛利率在NB類比重上揚下，將較第一季走揚，第二季營收與獲利成長幅度將躍居為MB族群之冠。富邦證券預估，微星第二季毛利率估計為11.1%，稅後純益3.76億元，每股純益0.37元。  第三季是市場傳統旺季，市場認為，微星第三季的主機板、繪圖卡及NB出貨量將持續攀升，有機會較第二季成長兩成以上。  微星的Netbook除與台灣的電信業者合作，更獲中國移動訂單，出貨量將逐漸顯現；CULV機種X340則獲LG及部分區域業者的代工訂單。  在CULV、一體成形電腦（AIO）、小筆電等新品出貨帶動下，配合大陸廠房積極控管費用，微星的毛利率逐季攀升，加上零組件供應順暢，法人預估，微星上半年財報有亮眼成績。  華擎方面，自有品牌的NB已接續出貨，主攻拉丁美洲、中南美、東歐等市場。  華擎表示，NB產品全交由和碩代工，借助和碩資源，成本競爭力可望優於二線NB廠。華擎並推出貼牌Net TOP，瞄準小型桌上電腦的商機。  跨足筆記型電腦有成，董事長林郭文艷在今年股東會中預估，今年NB比去年成長15%，且  出貨機種多元，大小筆電都有。  今年在Netbook加持下，以400萬台出貨量為目標。  ,2009/07/22
2331 精英,證交所昨（10）日指出，華映（2475）、裕民 （2606）、遠雄 （5522）、緯創（3231）、華航（2610）等五檔股票，自今日起列為台灣50指數成分股的候補名單。  證交所昨日與英國富時指數公司（FTSE）召開指數編製委員會，公布巨大 （9921）、雷凌 （3534）、燁輝 （2023）、信義房屋（9940）、中碳 （1723）、榮化 （1704）等納入中型100指數新的成分股：鄉林 （5531）、亞光 （3019）、錸德（2349）、合勤（2391）、   （  ）、義隆 （2458）等，則自台灣中型100指數成分股中刪除。  證交所指出，雷凌納入台灣資訊科技指數新成分股；錸德、合勤、  、義隆等自成分股中刪除。巨大、燁輝、中碳、榮化等四檔納入台灣發達指數新的成分股，亞光自成分股中刪除。  台灣高股息指數納入建興電、彩晶、旺宏、矽品、華固建設等五檔為新成分股；刪除的五檔成分股則為研華、華新、寶成、華亞科、南科等。  ,2008/07/11
2331 精英,主機板大廠技嘉（2376）積極搶攻中國大陸通路市占率五成關卡，加上手機部門下半年獲利有望，配合Win 7換機潮啟動，法人估計，技嘉第三季營收季增率將超過四成、獲利成長幅度逾倍，超越微星（2377）、  （  ）。  微軟Win 710月全球上市，從製造、運送、舖貨至終端通路，供應鏈從8、9月開始已密集運作，主機板廠營運可望增溫，吸引外資買盤本月來大買技嘉逾6 000張，不過昨（17）日下跌0.4元，收26.8元。  技嘉表示，第三季有微軟Win 7換機潮、英特爾P55開始出貨，有助刺激高階產品銷售，除看到需求回溫外，若未來新產品上市能延續上升力道，對第三季產品平均單價將有帶動效果，9月業績應可較8月持續成長。  在技嘉營收比重中，有七成來自主機板，由於鴻海（2317）退出主機板通路（Clone）市場，技嘉成為主要受惠者，在中國Clone市占率已近五成，加上大陸需求持續強勁，占技嘉營收比重也已從去年的30%上揚至40%。  此外，歐洲市場也呈現從谷底緩步回升態勢，帶動技嘉第三季營收動能將明顯爆發。  法人預估，技嘉第三季營收將成長逾四成，合併營收145.05億元，毛利率因營收規模變大，將超越上半年水準，估計為19.2%，單季稅後純益6.06億元，無論較去年同期或上季都成長逾一倍，每股純益0.96元。  在轉投資部分，技嘉除了在主機板有極佳競爭力，持續貢獻穩定獲利，專攻筆記型電腦（NB）研發的盈嘉，也已開始獲利。  雖然負責手機研發的子公司集嘉仍處虧損，但因上半年持續打消成品庫存，加上專案開發等控管嚴謹，公司認為集嘉有機會開始獲利。  整體而言，法人預估，技嘉今年營收513.74億元，毛利率將從15.7%上升至18.5%，全年稅後純22.04億元，每股純益有機會挑戰3元，配合微軟Win 7換機潮可望延燒至明年，技嘉明年獲利將進一步攀升。  ,2009/09/18
2331 精英,上市公司7月以來申請實施庫藏股護盤高達54件，上櫃公司也有41件，雙創今年單月新高。上市公司庫藏股護盤投入的最高總金額近200億元，富邦金（2881）近期也將宣布實施庫藏股，庫藏股族群成為台股近期跌破7 000點後的資金避風港。  上市公司7月以來實施庫藏股的54件中，高達28家次的市價都低於淨值，亦即有超過一半上市公司的股價淨值比都低於一倍；顯示股價有嚴重被低估現象，因而動用庫藏股進行護盤。  分析師指出，主管機關89年宣布庫藏股制度以來，上市公司單月實施庫藏股最高紀錄出現在93年3月總統大選，陳水扁勝選後股市大跌的70件。此次台股受到全球通膨、國際股市重挫影響，7 月至今已有54件實施庫藏股，大盤若持續低檔，上市公司7月的庫藏股家次有機會打破93年3月的最高紀錄。  實施庫藏股的上市公司，若以預計最高買回價計算，可投入的總金額逾190億元，對挹注目前的台股資金動能有所助益。  法人表示，上市公司7月以來實施庫藏股，多有發揮相對抗跌效應；例如第一家完成庫藏股的亞化（1715），從宣布實施到完成庫藏股，市價與買回價格都在16元附近，比較同期的大盤指數跌幅為3.39%，同類的塑化類股指數跌幅則高達11.72%，亞化實施庫藏股的護盤效果顯著。  此外，厚生（2107）、晟銘電（3013）、龍邦（2514）、元大金（2885）等多檔實施庫藏股的上市股，在此波的除權息弱勢行情中，都是少數表現逆勢完全填權息氣勢的股票，也顯示上市公司實施庫藏股的護盤效應。  7月宣布實施庫藏股的上市股，預計買回股數最多的前五名分別為元大金3億股、中信金（2891）0.84億股、  （  ）0.5億股、厚生0.3億股、亞化0.25億股。  ,2008/07/21
2331 精英,電腦（  ）疑與前  董事長蔣東濬爆發大陸興英印刷電路板（PCB）廠房的經營權之爭，當地公安進駐廠房維持秩序並封廠。對此，  主管昨（13）日表示，針對興英個人股東突然終止雙方合作關係，公司已向大陸當地相關機構陳情，請求保障  客戶及股東權益。  上周市場即傳出  旗下大陸興英印刷電路板（PCB）廠房爆發經營權之爭，當地公安進駐。大陸外電昨天進一步報導，指出  已將沙井興英PCB工廠約2 000多名員工送回沙頭角鑫茂廠，並且動員50多名公安進入維持秩序、封廠。  在大陸華南總共有四個代工廠，興英為其中之一。  同時是興英的客戶，將部分訂單下單予興英代工，作為產能調節，與其他由公司100%持有之工廠相搭配。  對於本次興英個人股東突然終止雙方合作關係，  已向大陸當地相關機構陳情，請求保障客戶及股東之權益，並委請當地律師處理中。  已將代工產能改集中於公司100%持有的子公司代工，生產營運維持正常運作，可充分滿足客戶訂單需要。  ,2008/08/14
2331 精英,主機板大廠  （  ）與大陸代工廠興英科技個人股東間的糾紛和解落幕；  昨（21）日公告表示，該公司董事會通過以5 000萬美元購回興英62%股權，未來  將擁有興英廠百分之百股權。  原持有大陸代工廠興英38%股權，日前因興英個人股東片面終止雙方合作關係，導致工廠無法出貨，因而展開協商，目前雙方已和解達成共識，  以5 000萬美元向「Miooion Up」公司購回興英62%股權；據了解，興英此個人股東即為  前董事長蔣東濬。  2006年前為擴充產能，因預期未來業績成長速度快，因此決議投資興英，透過「Million Up」以1 900萬美元（約新台幣5.8億元）取得38%股權，興英成為  在大陸華南的四個代工廠之一。  ,2008/08/22
2331 精英,電腦（  ）昨（29）日公告其法人董事寶成工業（9904）改派一位代表人，由寶成總管理處財會部副協理林啟雄接替視陽光學公司董事長兼總經理溫生台。  寶成目前在  董事會中有三席董事，僅次於大同，寶成更換具財務背景的林啟雄擔任駐  董事會法人代表，強調支持大同經營管理  的政策不變。  表示，林啟雄畢業輔仁大學會計系，曾任櫃檯買賣中心專員。在此之前，代表寶成經營  的前總經理陳明村於今年5月請辭後，雖仍擔任寶成在  的董事法人代表，但此人事異動已被視為寶成對  的經營管理權已被大同全部取代。  寶成認為，大同入主  後，其拓展代工業務及大中華區零售通路布局，都會給予支持，且公開表示  未來發展應會朝向正面。  寶成強調與大同的互動良好，例如  總部新大樓前許多草木都是寶成總裁蔡其瑞挑選；  董事長林郭文艷也曾到寶成台中總部參觀，彼此對  子公司訊宜在大中華區的零售事業，都有高度期待。  寶成副董事長蔡乃峰說，寶成對  未來的看法是正面，也充分支持林郭文艷董事長。  目前  在中國的電子通路事業由訊宜主導。在大同與寶成聯手下，訊宜順利完成增資，  成為最大股東，持股比率56%，寶成持有28.5%。訊宜營運已處獲利狀態，零售店數將持續增加，今年預計要擴增至1 700家以上，不排除股票上市可能性。  ,2008/07/30
